"编号","中文标签名","标签层次","父标签","虚拟父标签","是否黑名单"
1,"人类",1,-1,-1,0
752,"老年女性,老奶奶",2,1,200003,0
869,"消防员",2,1,-1,0
889,"马术师",2,1,-1,0
588,"潜水员,蛙人",2,1,-1,0
55,"歌手,演唱者",2,1,-1,0
742,"军官",2,1,-1,0
181,"士兵,军人",2,1,-1,0
114,"医生",2,1,-1,0
666,"新郎",2,1,-1,0
1357,"婴儿,新生儿",2,1,200002,0
57,"小孩,小朋友,孩子",2,1,200002,0
1358,"女孩",2,1,200003,0
59,"女,女士",2,1,200003,0
408,"新娘",3,59,-1,0
1039,"葫芦",1,-1,-1,0
61,"食物",1,-1,-1,0
550,"蔬菜",2,61,-1,0
941,"生菜",3,550,-1,0
1011,"菠菜",3,550,-1,0
1127,"茄子",3,550,-1,0
1121,"红薯,地瓜,芋头",3,550,-1,0
868,"胡萝卜",3,550,-1,0
1054,"西兰花",3,550,-1,0
743,"西葫芦",3,550,-1,0
939,"黄瓜",3,550,-1,0
1030,"芦笋",3,550,-1,0
648,"洋葱",3,550,-1,0
944,"葱,大葱",3,550,-1,0
1122,"芹菜",3,550,-1,0
1298,"韭菜",3,550,-1,0
517,"土豆,洋芋,马铃薯",3,550,-1,0
1003,"香菜",3,550,-1,0
758,"山药",3,550,-1,0
702,"芋头",3,550,-1,0
775,"白菜,甘蓝,卷心菜",3,550,-1,0
1158,"菜花,花菜",3,550,-1,0
1474,"萝卜",3,550,-1,0
1166,"芜菁,蔓菁",3,550,-1,0
350,"油菜",3,550,-1,0
443,"辣椒",3,550,-1,0
611,"坚果",2,61,-1,0
584,"核桃",3,611,-1,0
1116,"腰果",3,611,-1,0
524,"板栗,栗子",3,611,-1,0
1215,"榛子",3,611,-1,0
1129,"美洲山核桃",3,611,-1,0
1411,"松子,松仁",3,611,-1,0
1233,"开心果",3,611,-1,0
790,"橡子",3,611,-1,0
750,"花生,落花生",3,611,-1,0
229,"种子",2,61,-1,0
1419,"葵花籽,瓜子",3,229,-1,0
459,"豆子",2,61,-1,0
674,"大豆,毛豆",3,459,-1,0
761,"豌豆",3,459,-1,0
1377,"青豆",3,459,-1,0
211,"水果",2,61,-1,0
378,"橄榄",3,211,-1,0
227,"苹果",3,211,-1,0
1020,"杏",3,211,-1,0
620,"桃子",3,211,-1,0
657,"李子",3,211,-1,0
814,"菠萝,凤梨",3,211,-1,0
519,"香蕉",3,211,-1,0
334,"樱桃,车厘子",3,211,-1,0
1447,"木瓜,番木瓜",3,211,-1,0
865,"猕猴桃,奇异果",3,211,-1,0
1356,"山竹",3,211,-1,0
690,"芒果",3,211,-1,0
1343,"枣",3,211,-1,0
1353,"荔枝",3,211,-1,0
1350,"枸杞",3,211,-1,0
771,"梨,梨子",3,211,-1,0
1057,"石榴",3,211,-1,0
1493,"柿子",3,211,-1,0
591,"草莓",3,211,-1,0
947,"蓝莓",3,211,-1,0
981,"蔓越莓",3,211,-1,0
756,"黑莓",3,211,-1,0
783,"覆盆子,树莓",3,211,-1,0
146,"橙子",3,211,-1,0
508,"柠檬",3,211,-1,0
1093,"西柚",3,211,-1,0
976,"西瓜",3,211,-1,0
1469,"哈蜜瓜,香瓜,甜瓜",3,211,-1,0
1167,"榴莲",3,211,-1,0
539,"椰子",3,211,-1,0
326,"粮食",2,61,-1,0
327,"庄稼",3,326,-1,0
354,"玉米",3,326,-1,0
405,"糖果,糖",2,61,-1,0
1273,"棉花糖",3,405,200001,0
965,"棒棒糖",3,405,-1,0
1345,"糖果手杖",3,405,-1,0
1274,"糖豆",3,405,200001,0
312,"鸡蛋,蛋",2,61,-1,0
1308,"煎蛋",3,312,200001,0
1311,"炒蛋",3,312,200001,0
1055,"蛋黄,鸡蛋黄",3,312,-1,0
745,"甜点,甜品,甜食",2,61,200001,0
1156,"松饼",3,745,-1,0
1193,"百吉饼",3,745,-1,0
1105,"甜甜圈",3,745,-1,0
1401,"冰淇凌",3,745,-1,0
1455,"冰棍,雪糕,",2,61,200001,0
763,"糖浆",2,61,-1,0
358,"蜂蜜",2,61,-1,0
1064,"果冻",2,61,-1,0
892,"爆米花",2,61,-1,0
818,"炖汤,炖菜",2,61,200001,0
1334,"火锅",2,61,200001,0
